"","state","fips2","tvote","vep","vepnov","turnoutvep","sc_fips"
"2586","48",48195,1947,3120.0556640625,3095.64306640625,0.628948450088501,"48195"
"2587","48",48197,1513,2810.62329101562,2825.90380859375,0.535403907299042,"48197"
"2588","48",48199,22780,41562.2890625,41689.25,0.546423852443695,"48199"
"2589","48",48201,1312112,2549343.75,2563746.5,0.511794745922089,"48201"
"2590","48",48203,26548,45411.73828125,45326.84765625,0.585701465606689,"48203"
"2591","48",48205,1952,2771.8916015625,2780.59741210938,0.702007412910461,"48205"
"2592","48",48207,1770,3346.92456054688,3313.5283203125,0.534173786640167,"48207"
"2593","48",48209,72164,145849.96875,148156.65625,0.48707902431488,"48209"
"2594","48",48211,1695,2328.54370117188,2290.62915039062,0.739971399307251,"48211"
"2595","48",48213,30045,60030.6796875,60547.6484375,0.496220767498016,"48213"
"2596","48",48215,173437,407361.6875,412028.5625,0.420934408903122,"48215"
"2597","48",48217,12970,24613.35546875,24647.2109375,0.526225864887238,"48217"
"2598","48",48219,7311,15660.3984375,15551.37109375,0.470119327306747,"48219"
"2599","48",48221,26262,41779.92578125,42138.01953125,0.623237669467926,"48221"
"2600","48",48223,13538,24550.21484375,24591.0546875,0.550525367259979,"48223"
"2601","48",48225,8353,15075.78515625,15132.0634765625,0.552006661891937,"48225"
"2602","48",48227,8723,23166.40625,23136.173828125,0.37702864408493,"48227"
"2603","48",48229,871,1765.66320800781,1892.73193359375,0.460181385278702,"48229"
"2604","48",48231,31554,65057.83203125,65565.6171875,0.48125833272934,"48231"
"2605","48",48233,8155,14574.568359375,14488.86328125,0.562846064567566,"48233"
"2606","48",48235,766,1151.34313964844,1147.96740722656,0.667266309261322,"48235"
"2607","48",48237,3350,5360.44873046875,5344.27783203125,0.626838684082031,"48237"
"2608","48",48239,5302,10159.060546875,10162.3837890625,0.521727979183197,"48239"
"2609","48",48241,13419,25230.9765625,25269.3515625,0.531038582324982,"48241"
